Report#,RecordDate,OfficerName,Status,Spec. Location,GroupName,ManagerNotified,ReportDate,IncidentOccurred,MethodOfReporting,RelatedEvent,Synopsis,Country,Region/Province,City/Town/Municipality,Category,Type
2015-000086,2015-07-27 08:14:00,"CAIRO, OPSCENTER",Report Sent to Review,HELIOPOLIS,EGYPT,,2015-07-27 00:00:00,2015-07-27 00:00:00,,,"A Sound Bomb exploded in front of Civil Protection Building at Heliopolis, Cairo Governorate.",EGYPT,CAIRO,NA,TERRORISM,IED
2015-000062,2015-07-21 07:49:00,"CAIRO, OPSCENTER",Report Sent to Review,CAIRO AIRPORT,EGYPT,,2015-07-21 00:00:00,2015-07-21 00:00:00,OPEN SOURCE (ONLINE),,"Closure of airspace at Cairo Airport International for Ten Minutes because of Military Air Shows, Cairo",EGYPT,CAIRO,DOWNTOWN,OTHER,NA
2015-000055,2015-07-20 10:56:00,"ROUFFAUD, LUC",Report Sent to Review,,EGYPT,,2015-07-15 00:00:00,2015-07-14 00:00:00,OPEN SOURCE (ONLINE),,"A M60 armored vehicle was targeted by a guided missile in South Sheikh Zuweid. The vehicle is pictured to have been burned. The use of targeted missiles is not the first incident, but a significant one for insurgency taking place in the North Sinai. ISIL's Wilayet Sinai media center claimed the attack.",EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,ARMED CONFLICT,ROCKET ATTACK
2015-000095,2015-07-31 16:52:00,"CAIRO, OPSCENTER",Report Sent to Review,BASHTEEL,EGYPT,,2015-07-31 00:00:00,2015-07-31 00:00:00,OPEN SOURCE (ONLINE),,"Police Forces defused A Homemade Bomb in Bashteel area, Giza Governorate.",EGYPT,GIZA,GIZA,TERRORISM,BOMB DISCOVERY
2015-000056,2015-07-20 11:03:00,"ROUFFAUD, LUC",Report Sent to Review,THE INCIDENT REPORTEDLY TOOK PLACE NEAR THE AL GORA AIRPORT.,EGYPT,,2015-07-15 00:00:00,2015-07-14 00:00:00,,,"Second, a military bulldozer as well as a truck transporting other vehicles were hit with IEDs near a gas station, again in south Sheikh Zuweid.",EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,TERRORISM,IED
2015-000046,2015-07-17 22:49:00,"GAMAL, ESLAM",Report Sent to Review,THE OPERA HOUSE,EGYPT,,2015-07-16 00:00:00,2015-07-16 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire in a Carpentry workshop the Opera House, Cairo Governorate.",EGYPT,CAIRO,NA,HAZARD,NA
2015-000037,2015-07-17 22:31:00,"GAMAL, ESLAM",Report Sent to Review,"THREE HOMEMADE BOMBS EXPLODED IN ELECTRICITY TOWER AND POLICE FORCES DEFUSED ANOTHER BOMB IN AL-SHWEEF VILLAGE, ATSAH, FAIYUM GOVERNORATE.",EGYPT,,2015-07-14 00:00:00,2015-07-14 00:00:00,OPEN SOURCE (ONLINE),,"Three homemade bombs exploded in Electricity Tower and Police forces defused another bomb in Al-Shweef Village, Atsah, Faiyum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,IED
2015-000031,2015-07-13 10:12:00,"CAIRO, OPSCENTER",Report Sent to Review,AL-TAHRIR SQUARE,EGYPT,,2015-07-12 00:00:00,2015-07-12 00:00:00,,,Police forces defused a homemade bomb at Al-Tahrir Square.,EGYPT,SHARQIA,ZAGAZIG,TERRORISM,THREAT
2015-000072,2015-07-23 15:12:00,"CAIRO, OPSCENTER",Report Sent to Review,AL MASSORA AREA,EGYPT,,2015-07-23 00:00:00,2015-07-23 00:00:00,OPEN SOURCE (ONLINE),,"A Bomb exploded in Army’s Armored vehicle at Al Massora area, Rafah city, Sinai.",EGYPT,NORTH SINAI,RAFAH,TERRORISM,IED
2015-000041,2015-07-17 22:36:00,"GAMAL, ESLAM",Report Sent to Review,TAMIYYAH CITY,EGYPT,,2015-07-15 00:00:00,2015-07-15 00:00:00,OPEN SOURCE (ONLINE),,"A bomb exploded near to Electricity transformer Tamiyyah City ,Faiyum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,IED
2015-000094,2015-07-31 07:45:00,"CAIRO, OPSCENTER",Report Sent to Review,EL MATARIYA STREETS,EGYPT,,2015-07-31 00:00:00,2015-07-31 00:00:00,OPEN SOURCE (ONLINE),,"Two Demonstrations by Morsi supporters in El Matariya streets, El-Matariya , Cairo",EGYPT,CAIRO,MATARIYYAH,CIVIL UNREST,DEMONSTRATION
2015-000080,2015-07-24 14:46:00,"CAIRO, OPSCENTER",Report Sent to Review,AHMED ORABI ST,EGYPT,,2015-07-24 00:00:00,2015-07-24 00:00:00,OPEN SOURCE (ONLINE),,"Police Forces defused A Homemade Bomb in Ahmed Orabi St, Mohandeseen area, Giza.",EGYPT,GIZA,MOHANDESEEN,TERRORISM,BOMB DISCOVERY
2015-000013,2015-05-17 22:20:00,REPORT EXEC,Report Sent to Review,100 M FROM EU RESIDENCE,EGYPT,,2015-05-07 00:00:00,2015-05-07 00:00:00,,,A bomb (IED) was been defused by bomb squad. It was located at 100 m far away from the EU Residence in Kamal Al Tawil Al Montazan Street close to the Hungarian Embassy.,EGYPT,CAIRO,CAIRO,TERRORISM,EXPLOSIVES
2015-000048,2015-07-17 22:56:00,"GAMAL, ESLAM",Report Sent to Review,WEST OF ALEXANDRIA,EGYPT,,2015-07-17 00:00:00,2015-07-17 00:00:00,OPEN SOURCE (ONLINE),,Demonstrations after Eid al-Fitr by Morsi supporters in the West of Alexandria Governorate,EGYPT,ALEXANDRIA,NA,CIVIL UNREST,DEMONSTRATION
2015-000017,2015-05-17 22:37:00,REPORT EXEC,Report Sent to Review,UNDER AHMED ORABI BRIDGE,EGYPT,,2015-05-09 00:00:00,2015-05-09 00:00:00,,,"Bomb experts have diffused two IED bombs one of which was found under Ahmed Orabi Bridge, Mohandeseen, Giza governorate",EGYPT,GIZA,MOHANDESEEN,TERRORISM,EXPLOSIVES
2015-000093,2015-07-30 07:00:00,"CAIRO, OPSCENTER",Report Sent to Review,ABOU-RAWASH AREA,EGYPT,,2015-07-30 00:00:00,2015-07-30 00:00:00,OPEN SOURCE (ONLINE),,There is a huge fire in Abou Rawash Area Near to Smart Village of 6th Of October City,EGYPT,GIZA,6TH OCTOBER CITY,HAZARD,NA
2015-000019,2015-05-17 22:42:00,REPORT EXEC,Report Sent to Review,AL SALAM MOSQUE AND AL AZHAR UNIVERSITY,EGYPT,,2015-05-09 22:42:00,2015-05-09 00:00:00,,,Hand clashes between MB protesters and security forces erupted lately around Al Salam Mosque and Al Azhar University in Nasr City where police forces fired tear gasses to disrupt protesters,EGYPT,CAIRO,NASR CITY,CIVIL UNREST,SECURITY CLASHES
2015-000021,2015-05-17 22:47:00,REPORT EXEC,Report Sent to Review,,EGYPT,,2015-05-10 00:00:00,2015-05-10 00:00:00,,Ansar Bayt al-Maqdis,200 members of Ansar Bayt al-Maqdis referred to court over terrorism,EGYPT,CAIRO,CAIRO,TERRORISM,NA
2015-000088,2015-07-27 18:22:00,"CAIRO, OPSCENTER",Report Sent to Review,"YOUSSEF ABBAS, NASR CITY",EGYPT,,2015-07-28 00:00:00,2015-07-28 00:00:00,,,"Two powerful bombs exploded at Youssef Abbas, Nasr City, Cairo Governorate",EGYPT,CAIRO,NASR CITY,TERRORISM,BOMBING (OTHER THAN IED)
2015-000044,2015-07-17 22:41:00,"GAMAL, ESLAM",Report Sent to Review,"""CAIRO- SUEZ"" ROAD",EGYPT,,2015-07-15 00:00:00,2015-07-15 00:00:00,OPEN SOURCE (ONLINE),,"The natural Gas Line in ""Cairo- Suez"" Road Exploded during the Maintenance in the Line.",EGYPT,NA,NA,HAZARD,NA
2015-000159,2015-08-19 10:33:00,"SIKE, OLIVIA",Report Sent to Review,,EGYPT,,2015-08-19 00:00:00,2015-07-01 00:00:00,OPEN SOURCE (ONLINE),,"Welayata Sinai claimed use of MANPADs against egyptian AH-64 during 1 July engagement in Sheikh Zuwayyed. Wilayet Sinai claims that they damaged one, and provide pictures of part if AH-64 that was damaged ad left the place of attack. This is the second time (first was 25.1.2014, shot down if Mi-17) sinai militants are proving by picture the fact that 1) they have MANPANDs that are operational and 2) that they know how to prepare and fire, and also 3) that they are willing to do so.",EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,ARMED CONFLICT,ROCKET ATTACK
2015-000040,2015-07-17 22:36:00,"GAMAL, ESLAM",Report Sent to Review,ABDEL MONEIM RIAD SQUARE,EGYPT,,2015-07-15 00:00:00,2015-07-15 00:00:00,OPEN SOURCE (ONLINE),,"A bomb exploded near to Abdel Moneim Riad Square Faiyum ,Faiyum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,IED
2015-000071,2015-07-23 15:07:00,"CAIRO, OPSCENTER",Report Sent to Review,KAFR SAKR CITY,EGYPT,,2015-07-23 00:00:00,2015-07-23 00:00:00,OPEN SOURCE (ONLINE),,"Police Forces defused Two Homemade Bombs in front of Traffic department in Kafr Sakr City, Sharqia Governorate.",EGYPT,SHARQIA,KAFR SAQR,TERRORISM,BOMB DISCOVERY
2015-000090,2015-07-28 19:09:00,"CAIRO, OPSCENTER",Report Sent to Review,EL HARAM,EGYPT,,2015-07-29 00:00:00,2015-07-29 00:00:00,,"An Armed attack on Niger Embassy in El Haram City, Giza Governorate.","An Armed attack on Niger Embassy in El Haram City, Giza Governorate.",EGYPT,GIZA,GIZA,TERRORISM,ARMED ATTACK
2015-000076,2015-07-23 15:26:00,"CAIRO, OPSCENTER",Report Sent to Review,KAFR SAQR,EGYPT,,2015-07-23 00:00:00,2015-07-23 00:00:00,,,"Police Forces defused Two Homemade Bombs in front of Traffic department in Kafr Sakr City, Sharqia Governorate.",EGYPT,SHARQIA,KAFR SAQR,TERRORISM,IED
2015-000066,2015-07-21 18:15:00,"CAIRO, OPSCENTER",Report Sent to Review,"QENA LUXOR DESERT, QENA GOVERNORATE.",EGYPT,,2015-07-22 00:00:00,2015-07-21 00:00:00,,,"Two cars collided and burst one of them at Qena Luxor Desert, Qena Governorate. 3 persons killed and 10 Injuries .",EGYPT,QENA,NA,HAZARD,VEHICLE ACCIDENT
2015-000043,2015-07-17 22:41:00,"GAMAL, ESLAM",Report Sent to Review,"CENTRAL BRIDGE, DOWNTOWN",EGYPT,,2015-07-15 00:00:00,2015-07-15 00:00:00,,,"A Bomb exploded Under El- Central Bridge, Downtown , Faiyum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,IED
