Report#,RecordDate,OfficerName,Status,Spec. Location,GroupName,ManagerNotified,ReportDate,IncidentOccurred,MethodOfReporting,RelatedEvent,Synopsis,Country,Region/Province,City/Town/Municipality,Category,Type
2015-000301,2015-08-28 15:34:00,"DAVIS, JERRY",Report Sent to Review,"INTERNATIONAL ROAD, WEST OF RAFAH",EGYPT,,2015-08-15 00:00:00,2015-08-15 00:00:00,OPEN SOURCE (ONLINE),,"Egyptian media outlets are reporting that bomb squads have defused three IEDs that were planted on the International Road west of Rafah, near the Sadout checkpoint.",EGYPT,NORTH SINAI,NA,TERRORISM,IED
2015-000220,2015-08-27 16:07:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-26 00:00:00,2015-08-26 00:00:00,OPEN SOURCE (ONLINE),,A tribal elder was reportedly shot outside of his home in al-Arish in the Sinai.,EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,SHOOTING
2015-000183,2015-08-26 17:05:00,"ROUFFAUD, LUC",Report Sent to Review,,EGYPT,,2015-08-04 00:00:00,2015-08-04 00:00:00,OPEN SOURCE (ONLINE),,Family of five killed in shelling from militants into a home in sheikh zuweid,EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000230,2015-08-27 09:44:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-10 00:00:00,2015-08-10 00:00:00,OPEN SOURCE (ONLINE),,"Security forces arrest high-ranking member, Ahmed Faiz, of ISIS affiliate, Walayat Sinai, in al-Arish.",EGYPT,NORTH SINAI,EL-ARISH,SECURITY FORCES,ARREST
2015-000346,2015-08-31 09:54:00,"BASURTO, JANET",Report Sent to Review,ABU SULEIMAN,EGYPT,,2015-08-30 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,MB march held in Alexandria's Abu Suleiman area.,EGYPT,ALEXANDRIA,NA,CIVIL UNREST,DEMONSTRATION
2015-000346,2015-08-31 09:54:00,"BASURTO, JANET",Report Sent to Review,ABU SULEIMAN,EGYPT,,2015-08-30 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,MB march held in Alexandria's Abu Suleiman area.,EGYPT,ALEXANDRIA,NA,CIVIL UNREST,MARCH
2015-000311,2015-08-28 16:02:00,"SIKE, OLIVIA",Report Sent to Review,SOUTH OF RAFAH,EGYPT,,2015-08-18 00:00:00,2015-08-18 00:00:00,OPEN SOURCE (ONLINE),,7 reportedly injured in shooting on checkpoint,EGYPT,NA,NA,TERRORISM,SHOOTING
2015-000343,2015-08-30 16:35:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-30 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,"According to Egyptian media outlets, five bodies of local tribesmen were thrown by militants on a road near Rafah. The gunman reportedly told locals that the five tribesmen were executed for collaborating with the army. This is part of a broader campaign of intimidation by local militants against both security forces and tribesmen.",EGYPT,NORTH SINAI,RAFAH,CRIME,MURDER
2015-000341,2015-08-30 16:05:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-30 00:00:00,2015-08-30 00:00:00,OPEN SOURCE (ONLINE),,"Egyptian security forces reportedly detonated two IEDs placed on a road south of Sheikh Zuweid. Additionally, reports indicate that security forces arrested 10 members of a group called ""sons of Sheikh Zuweid.""",EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,TERRORISM,BOMB DISCOVERY
2015-000141,2015-08-14 06:43:00,"CAIRO, OPSCENTER",Report Sent to Review,SOHAG ROUTE,EGYPT,,2015-08-14 00:00:00,2015-08-14 00:00:00,,"Crash Bus in Sohag route, Red Sea Governorate.","Crash Bus in Sohag route, Red Sea Governorate.",EGYPT,RED SEA,HURGHADA,CRIME,THEFT
2015-000101,2015-08-03 09:17:00,"CAIRO, OPSCENTER",Report Sent to Review,"EL ZERAA SQUARE, MAHALA CITY",EGYPT,,2015-08-03 00:00:00,2015-08-03 00:00:00,OPEN SOURCE (ONLINE),,"A massive fire in the Land Line telephones Central in El Zeraa Square, Mahala city, Gharbia Governorate.",EGYPT,GHARBIA,NA,HAZARD,NA
2015-000305,2015-08-28 15:42:00,"DAVIS, JERRY",Report Sent to Review,,EGYPT,,2015-08-16 00:00:00,2015-08-16 00:00:00,OPEN SOURCE (ONLINE),,"26 ""army officers and MB officials"" were sentenced today by a military court for alleged attempts to overthrow the regime. Four of the officers are retired; the two MB officials are the General Secretary of the Freedom and Justice Party in the Giza Governorate, Hilmi al-Gizzar; and Mohammed Abdel Rahman, a member of the group's consulting committee. The men were sentenced to various prison times, varying from 10 to 25 years.",EGYPT,NA,NA,MAJOR POLITICAL EVENT,NA
2015-000224,2015-08-27 16:27:00,"BASURTO, JANET",Report Sent to Review,BOUSTA STREET,EGYPT,,2015-08-26 00:00:00,2015-08-26 00:00:00,OPEN SOURCE (ONLINE),,ISIS-affiliated WS claimed responsibility and released photos of the shooting that killed two policemen in Arish. the pictures show that the police as plain-clothe. Group claimed to have seized weapons.,EGYPT,NORTH SINAI,EL-ARISH,TERRORISM,SHOOTING
2015-000120,2015-08-09 04:17:00,"CAIRO, OPSCENTER",Report Sent to Review,"AL TALBIA AREA , GIZA .",EGYPT,,2015-08-09 00:00:00,2015-08-09 00:00:00,OPEN SOURCE (ONLINE),,"There is maintenance on the Ring Road from now and till Three Days at Al Talbia area , Giza .",EGYPT,GIZA,GIZA,OTHER,NA
2015-000296,2015-08-28 15:24:00,"DAVIS, JERRY",Report Sent to Review,KERDESA AREA WEST OF GIZA,EGYPT,,2015-08-15 00:00:00,2015-08-15 00:00:00,OPEN SOURCE (ONLINE),,One person was killed and five others were injured after four assailants riding motorcycles opened fire for unknown reasons in the Kerdasa area west of Giza.,EGYPT,GIZA,NA,TERRORISM,SHOOTING
2015-000242,2015-08-27 18:06:00,"DAVIS, JERRY",Report Sent to Review,AL-BAYOUK AREA SOUTH OF RAFAH,EGYPT,,2015-08-11 00:00:00,2015-08-11 00:00:00,OPEN SOURCE (ONLINE),,Egyptian combat helicopters targeted militants south of Rafah. The militants were gathering in two schools in the al-Bayouk area south of Rafah. Military sources claimed 15 militants were killed and 10 injured.,EGYPT,NORTH SINAI,RAFAH,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000135,2015-08-12 20:32:00,"CAIRO, OPSCENTER",Report Sent to Review,"SINRO VILLAGE, ABSHEWAY CITY, FAYOUM GOVERNORATE.",EGYPT,,2015-08-12 00:00:00,2015-08-12 00:00:00,OPEN SOURCE (ONLINE),,"Unknown people open fire towards A Policeman in Sinro Village, Absheway City, Fayoum Governorate.",EGYPT,FAYOUM,NA,TERRORISM,SHOOTING
2015-000319,2015-08-28 16:50:00,"SIKE, OLIVIA",Report Sent to Review,INTERNATIONAL AIRPORT,EGYPT,,2015-08-20 00:00:00,2015-08-20 00:00:00,OPEN SOURCE (ONLINE),,Car Bombing,EGYPT,CAIRO,NA,TERRORISM,SMALL-SCALE EXPLOSIVES
2015-000277,2015-08-28 13:36:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-22 00:00:00,2015-08-22 00:00:00,OPEN SOURCE (ONLINE),,Egyptian forces are searching for three government service vehicles that have allegedly gone missing in Arish.,EGYPT,NORTH SINAI,EL-ARISH,ARMED CONFLICT,MILITANCY
2015-000317,2015-08-28 16:39:00,"SIKE, OLIVIA",Report Sent to Review,SOUTH OF SHEIKH ZUWEID AND RAFAH,EGYPT,,2015-08-19 00:00:00,2015-08-19 00:00:00,OPEN SOURCE (ONLINE),,Security forces carry out several raids against militants,EGYPT,NA,NA,OTHER,NA
2015-000239,2015-08-27 18:00:00,"DAVIS, JERRY",Report Sent to Review,SOUTH OF SHEIKH ZUWEID,EGYPT,,2015-08-11 00:00:00,2015-08-11 00:00:00,OPEN SOURCE (ONLINE),,Military airstrike killed 4 militants south of Sheikh Zuweid.,EGYPT,NORTH SINAI,SHEIKH ZUWAYYED,ARMED CONFLICT,MILITARY OFFENSIVE
2015-000217,2015-08-27 15:58:00,"BASURTO, JANET",Report Sent to Review,,EGYPT,,2015-08-27 00:00:00,2015-08-27 00:00:00,,,"According to Egyptian media outlets MB protests were held Cairo's Nasr City, starting at the Genena Mall. No reports of arrests.",EGYPT,CAIRO,NASR CITY,CIVIL UNREST,PROTEST
2015-000321,2015-08-28 17:04:00,"SIKE, OLIVIA",Report Sent to Review,NEAR MARSA ALAM,EGYPT,,2015-08-20 00:00:00,2015-08-20 00:00:00,OPEN SOURCE (ONLINE),,Tourists rescued from sinking ship,EGYPT,NA,NA,HAZARD,NA
